Model,Embedding,Selected_Features,Train_ACC,Train_BACC,Train_PRE,Train_SPEC,Train_SENS,Train_F1,Train_MCC,Test_ACC,Test_BACC,Test_PRE,Test_SPEC,Test_SENS,Test_F1,Test_MCC,Selector,Selected_Feature_Names
Logistic Regression,Categorical,352,0.8992,0.8768,0.8845,0.9646,0.8768,0.8804,0.8262,0.8474,0.8001,0.7955,0.9518,0.8001,0.7974,0.7402,L1,maccs_33|maccs_36|maccs_43|maccs_47|maccs_50|maccs_52|maccs_53|maccs_54|maccs_62|maccs_66|maccs_69|maccs_72|maccs_73|maccs_74|maccs_77|maccs_83|maccs_84|maccs_85|maccs_86|maccs_88|maccs_89|maccs_90|maccs_91|maccs_94|maccs_98|maccs_99|maccs_100|maccs_101|maccs_104|maccs_106|maccs_109|maccs_110|maccs_111|maccs_112|maccs_113|maccs_115|maccs_116|maccs_120|maccs_123|maccs_125|maccs_127|maccs_129|maccs_130|maccs_131|maccs_132|maccs_136|maccs_138|maccs_139|maccs_140|maccs_142|maccs_143|maccs_144|maccs_145|maccs_147|maccs_149|maccs_150|maccs_151|maccs_152|maccs_154|maccs_157|maccs_158|maccs_159|maccs_160|maccs_161|maccs_163|maccs_165|MaxAbsEStateIndex|MinAbsEStateIndex|qed|SPS|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|Ipc|Kappa2|Kappa3|PEOE_VSA10|PEOE_VSA11|PEOE_VSA12|PEOE_VSA13|PEOE_VSA14|PEOE_VSA2|PEOE_VSA3|PEOE_VSA4|PEOE_VSA5|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA2|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA10|SlogP_VSA12|SlogP_VSA4|SlogP_VSA5|SlogP_VSA7|SlogP_VSA8|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA6|EState_VSA7|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState10|VSA_EState2|VSA_EState4|VSA_EState5|VSA_EState7|VSA_EState8|VSA_EState9|FractionCSP3|NumAliphaticCarbocycles|NumAmideBonds|NumAromaticCarbocycles|NumAromaticRings|NumAtomStereoCenters|NumBridgeheadAtoms|NumHeterocycles|NumSaturatedHeterocycles|NumSpiroAtoms|NumUnspecifiedAtomStereoCenters|MolLogP|fr_Al_COO|fr_Al_OH|fr_ArN|fr_Ar_COO|fr_Ar_N|fr_Ar_NH|fr_Ar_OH|fr_Imine|fr_NH0|fr_NH1|fr_NH2|fr_Ndealkylation1|fr_Ndealkylation2|fr_SH|fr_aldehyde|fr_alkyl_halide|fr_allylic_oxid|fr_aniline|fr_aryl_methyl|fr_bicyclic|fr_ester|fr_ether|fr_furan|fr_halogen|fr_imidazole|fr_ketone|fr_ketone_Topliss|fr_lactone|fr_methoxy|fr_nitrile|fr_nitro|fr_nitro_arom|fr_nitro_arom_nonortho|fr_para_hydroxylation|fr_phos_ester|fr_piperdine|fr_priamide|fr_pyridine|fr_sulfide|fr_sulfonamd|fr_unbrch_alkane|fr_urea|fp_bit_1|fp_bit_2|fp_bit_8|fp_bit_13|fp_bit_16|fp_bit_25|fp_bit_31|fp_bit_40|fp_bit_54|fp_bit_79|fp_bit_80|fp_bit_94|fp_bit_97|fp_bit_102|fp_bit_115|fp_bit_140|fp_bit_145|fp_bit_170|fp_bit_191|fp_bit_193|fp_bit_197|fp_bit_202|fp_bit_208|fp_bit_222|fp_bit_249|fp_bit_253|fp_bit_266|fp_bit_267|fp_bit_283|fp_bit_305|fp_bit_314|fp_bit_319|fp_bit_322|fp_bit_378|fp_bit_389|fp_bit_401|fp_bit_457|fp_bit_474|fp_bit_478|fp_bit_482|fp_bit_485|fp_bit_486|fp_bit_489|fp_bit_502|fp_bit_521|fp_bit_526|fp_bit_529|fp_bit_573|fp_bit_636|fp_bit_650|fp_bit_656|fp_bit_657|fp_bit_667|fp_bit_680|fp_bit_694|fp_bit_695|fp_bit_696|fp_bit_700|fp_bit_713|fp_bit_718|fp_bit_739|fp_bit_745|fp_bit_786|fp_bit_794|fp_bit_807|fp_bit_819|fp_bit_823|fp_bit_831|fp_bit_833|fp_bit_841|fp_bit_844|fp_bit_845|fp_bit_857|fp_bit_875|fp_bit_899|fp_bit_910|fp_bit_926|fp_bit_937|fp_bit_940|fp_bit_941|fp_bit_960|fp_bit_975|fp_bit_978|fp_bit_984|fp_bit_1017|fp_bit_1018|fp_bit_1019|fp_bit_1027|fp_bit_1034|fp_bit_1066|fp_bit_1070|fp_bit_1088|fp_bit_1134|fp_bit_1141|fp_bit_1148|fp_bit_1152|fp_bit_1154|fp_bit_1160|fp_bit_1162|fp_bit_1181|fp_bit_1195|fp_bit_1199|fp_bit_1224|fp_bit_1234|fp_bit_1236|fp_bit_1249|fp_bit_1257|fp_bit_1267|fp_bit_1290|fp_bit_1302|fp_bit_1308|fp_bit_1309|fp_bit_1313|fp_bit_1356|fp_bit_1365|fp_bit_1366|fp_bit_1385|fp_bit_1407|fp_bit_1410|fp_bit_1427|fp_bit_1428|fp_bit_1446|fp_bit_1447|fp_bit_1448|fp_bit_1452|fp_bit_1457|fp_bit_1458|fp_bit_1475|fp_bit_1476|fp_bit_1487|fp_bit_1497|fp_bit_1511|fp_bit_1516|fp_bit_1544|fp_bit_1547|fp_bit_1564|fp_bit_1574|fp_bit_1581|fp_bit_1599|fp_bit_1600|fp_bit_1602|fp_bit_1607|fp_bit_1613|fp_bit_1660|fp_bit_1715|fp_bit_1722|fp_bit_1724|fp_bit_1737|fp_bit_1778|fp_bit_1803|fp_bit_1831|fp_bit_1844|fp_bit_1849|fp_bit_1854|fp_bit_1855|fp_bit_1873|fp_bit_1902|fp_bit_1911|fp_bit_1921|fp_bit_1934|fp_bit_1944|fp_bit_1970|fp_bit_2006|fp_bit_2029|fp_bit_2038|fp_bit_2041
Decision Tree,Categorical,352,0.9906,0.9841,0.9954,0.9957,0.9841,0.9895,0.984,0.8268,0.7464,0.7541,0.9437,0.7464,0.7493,0.7024,L1,maccs_33|maccs_36|maccs_43|maccs_47|maccs_50|maccs_52|maccs_53|maccs_54|maccs_62|maccs_66|maccs_69|maccs_72|maccs_73|maccs_74|maccs_77|maccs_83|maccs_84|maccs_85|maccs_86|maccs_88|maccs_89|maccs_90|maccs_91|maccs_94|maccs_98|maccs_99|maccs_100|maccs_101|maccs_104|maccs_106|maccs_109|maccs_110|maccs_111|maccs_112|maccs_113|maccs_115|maccs_116|maccs_120|maccs_123|maccs_125|maccs_127|maccs_129|maccs_130|maccs_131|maccs_132|maccs_136|maccs_138|maccs_139|maccs_140|maccs_142|maccs_143|maccs_144|maccs_145|maccs_147|maccs_149|maccs_150|maccs_151|maccs_152|maccs_154|maccs_157|maccs_158|maccs_159|maccs_160|maccs_161|maccs_163|maccs_165|MaxAbsEStateIndex|MinAbsEStateIndex|qed|SPS|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|Ipc|Kappa2|Kappa3|PEOE_VSA10|PEOE_VSA11|PEOE_VSA12|PEOE_VSA13|PEOE_VSA14|PEOE_VSA2|PEOE_VSA3|PEOE_VSA4|PEOE_VSA5|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA2|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA10|SlogP_VSA12|SlogP_VSA4|SlogP_VSA5|SlogP_VSA7|SlogP_VSA8|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA6|EState_VSA7|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState10|VSA_EState2|VSA_EState4|VSA_EState5|VSA_EState7|VSA_EState8|VSA_EState9|FractionCSP3|NumAliphaticCarbocycles|NumAmideBonds|NumAromaticCarbocycles|NumAromaticRings|NumAtomStereoCenters|NumBridgeheadAtoms|NumHeterocycles|NumSaturatedHeterocycles|NumSpiroAtoms|NumUnspecifiedAtomStereoCenters|MolLogP|fr_Al_COO|fr_Al_OH|fr_ArN|fr_Ar_COO|fr_Ar_N|fr_Ar_NH|fr_Ar_OH|fr_Imine|fr_NH0|fr_NH1|fr_NH2|fr_Ndealkylation1|fr_Ndealkylation2|fr_SH|fr_aldehyde|fr_alkyl_halide|fr_allylic_oxid|fr_aniline|fr_aryl_methyl|fr_bicyclic|fr_ester|fr_ether|fr_furan|fr_halogen|fr_imidazole|fr_ketone|fr_ketone_Topliss|fr_lactone|fr_methoxy|fr_nitrile|fr_nitro|fr_nitro_arom|fr_nitro_arom_nonortho|fr_para_hydroxylation|fr_phos_ester|fr_piperdine|fr_priamide|fr_pyridine|fr_sulfide|fr_sulfonamd|fr_unbrch_alkane|fr_urea|fp_bit_1|fp_bit_2|fp_bit_8|fp_bit_13|fp_bit_16|fp_bit_25|fp_bit_31|fp_bit_40|fp_bit_54|fp_bit_79|fp_bit_80|fp_bit_94|fp_bit_97|fp_bit_102|fp_bit_115|fp_bit_140|fp_bit_145|fp_bit_170|fp_bit_191|fp_bit_193|fp_bit_197|fp_bit_202|fp_bit_208|fp_bit_222|fp_bit_249|fp_bit_253|fp_bit_266|fp_bit_267|fp_bit_283|fp_bit_305|fp_bit_314|fp_bit_319|fp_bit_322|fp_bit_378|fp_bit_389|fp_bit_401|fp_bit_457|fp_bit_474|fp_bit_478|fp_bit_482|fp_bit_485|fp_bit_486|fp_bit_489|fp_bit_502|fp_bit_521|fp_bit_526|fp_bit_529|fp_bit_573|fp_bit_636|fp_bit_650|fp_bit_656|fp_bit_657|fp_bit_667|fp_bit_680|fp_bit_694|fp_bit_695|fp_bit_696|fp_bit_700|fp_bit_713|fp_bit_718|fp_bit_739|fp_bit_745|fp_bit_786|fp_bit_794|fp_bit_807|fp_bit_819|fp_bit_823|fp_bit_831|fp_bit_833|fp_bit_841|fp_bit_844|fp_bit_845|fp_bit_857|fp_bit_875|fp_bit_899|fp_bit_910|fp_bit_926|fp_bit_937|fp_bit_940|fp_bit_941|fp_bit_960|fp_bit_975|fp_bit_978|fp_bit_984|fp_bit_1017|fp_bit_1018|fp_bit_1019|fp_bit_1027|fp_bit_1034|fp_bit_1066|fp_bit_1070|fp_bit_1088|fp_bit_1134|fp_bit_1141|fp_bit_1148|fp_bit_1152|fp_bit_1154|fp_bit_1160|fp_bit_1162|fp_bit_1181|fp_bit_1195|fp_bit_1199|fp_bit_1224|fp_bit_1234|fp_bit_1236|fp_bit_1249|fp_bit_1257|fp_bit_1267|fp_bit_1290|fp_bit_1302|fp_bit_1308|fp_bit_1309|fp_bit_1313|fp_bit_1356|fp_bit_1365|fp_bit_1366|fp_bit_1385|fp_bit_1407|fp_bit_1410|fp_bit_1427|fp_bit_1428|fp_bit_1446|fp_bit_1447|fp_bit_1448|fp_bit_1452|fp_bit_1457|fp_bit_1458|fp_bit_1475|fp_bit_1476|fp_bit_1487|fp_bit_1497|fp_bit_1511|fp_bit_1516|fp_bit_1544|fp_bit_1547|fp_bit_1564|fp_bit_1574|fp_bit_1581|fp_bit_1599|fp_bit_1600|fp_bit_1602|fp_bit_1607|fp_bit_1613|fp_bit_1660|fp_bit_1715|fp_bit_1722|fp_bit_1724|fp_bit_1737|fp_bit_1778|fp_bit_1803|fp_bit_1831|fp_bit_1844|fp_bit_1849|fp_bit_1854|fp_bit_1855|fp_bit_1873|fp_bit_1902|fp_bit_1911|fp_bit_1921|fp_bit_1934|fp_bit_1944|fp_bit_1970|fp_bit_2006|fp_bit_2029|fp_bit_2038|fp_bit_2041
Random Forest,Categorical,352,0.9906,0.9903,0.9892,0.9968,0.9903,0.9898,0.984,0.8844,0.8505,0.8468,0.9616,0.8505,0.8483,0.8019,L1,maccs_33|maccs_36|maccs_43|maccs_47|maccs_50|maccs_52|maccs_53|maccs_54|maccs_62|maccs_66|maccs_69|maccs_72|maccs_73|maccs_74|maccs_77|maccs_83|maccs_84|maccs_85|maccs_86|maccs_88|maccs_89|maccs_90|maccs_91|maccs_94|maccs_98|maccs_99|maccs_100|maccs_101|maccs_104|maccs_106|maccs_109|maccs_110|maccs_111|maccs_112|maccs_113|maccs_115|maccs_116|maccs_120|maccs_123|maccs_125|maccs_127|maccs_129|maccs_130|maccs_131|maccs_132|maccs_136|maccs_138|maccs_139|maccs_140|maccs_142|maccs_143|maccs_144|maccs_145|maccs_147|maccs_149|maccs_150|maccs_151|maccs_152|maccs_154|maccs_157|maccs_158|maccs_159|maccs_160|maccs_161|maccs_163|maccs_165|MaxAbsEStateIndex|MinAbsEStateIndex|qed|SPS|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|Ipc|Kappa2|Kappa3|PEOE_VSA10|PEOE_VSA11|PEOE_VSA12|PEOE_VSA13|PEOE_VSA14|PEOE_VSA2|PEOE_VSA3|PEOE_VSA4|PEOE_VSA5|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA2|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA10|SlogP_VSA12|SlogP_VSA4|SlogP_VSA5|SlogP_VSA7|SlogP_VSA8|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA6|EState_VSA7|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState10|VSA_EState2|VSA_EState4|VSA_EState5|VSA_EState7|VSA_EState8|VSA_EState9|FractionCSP3|NumAliphaticCarbocycles|NumAmideBonds|NumAromaticCarbocycles|NumAromaticRings|NumAtomStereoCenters|NumBridgeheadAtoms|NumHeterocycles|NumSaturatedHeterocycles|NumSpiroAtoms|NumUnspecifiedAtomStereoCenters|MolLogP|fr_Al_COO|fr_Al_OH|fr_ArN|fr_Ar_COO|fr_Ar_N|fr_Ar_NH|fr_Ar_OH|fr_Imine|fr_NH0|fr_NH1|fr_NH2|fr_Ndealkylation1|fr_Ndealkylation2|fr_SH|fr_aldehyde|fr_alkyl_halide|fr_allylic_oxid|fr_aniline|fr_aryl_methyl|fr_bicyclic|fr_ester|fr_ether|fr_furan|fr_halogen|fr_imidazole|fr_ketone|fr_ketone_Topliss|fr_lactone|fr_methoxy|fr_nitrile|fr_nitro|fr_nitro_arom|fr_nitro_arom_nonortho|fr_para_hydroxylation|fr_phos_ester|fr_piperdine|fr_priamide|fr_pyridine|fr_sulfide|fr_sulfonamd|fr_unbrch_alkane|fr_urea|fp_bit_1|fp_bit_2|fp_bit_8|fp_bit_13|fp_bit_16|fp_bit_25|fp_bit_31|fp_bit_40|fp_bit_54|fp_bit_79|fp_bit_80|fp_bit_94|fp_bit_97|fp_bit_102|fp_bit_115|fp_bit_140|fp_bit_145|fp_bit_170|fp_bit_191|fp_bit_193|fp_bit_197|fp_bit_202|fp_bit_208|fp_bit_222|fp_bit_249|fp_bit_253|fp_bit_266|fp_bit_267|fp_bit_283|fp_bit_305|fp_bit_314|fp_bit_319|fp_bit_322|fp_bit_378|fp_bit_389|fp_bit_401|fp_bit_457|fp_bit_474|fp_bit_478|fp_bit_482|fp_bit_485|fp_bit_486|fp_bit_489|fp_bit_502|fp_bit_521|fp_bit_526|fp_bit_529|fp_bit_573|fp_bit_636|fp_bit_650|fp_bit_656|fp_bit_657|fp_bit_667|fp_bit_680|fp_bit_694|fp_bit_695|fp_bit_696|fp_bit_700|fp_bit_713|fp_bit_718|fp_bit_739|fp_bit_745|fp_bit_786|fp_bit_794|fp_bit_807|fp_bit_819|fp_bit_823|fp_bit_831|fp_bit_833|fp_bit_841|fp_bit_844|fp_bit_845|fp_bit_857|fp_bit_875|fp_bit_899|fp_bit_910|fp_bit_926|fp_bit_937|fp_bit_940|fp_bit_941|fp_bit_960|fp_bit_975|fp_bit_978|fp_bit_984|fp_bit_1017|fp_bit_1018|fp_bit_1019|fp_bit_1027|fp_bit_1034|fp_bit_1066|fp_bit_1070|fp_bit_1088|fp_bit_1134|fp_bit_1141|fp_bit_1148|fp_bit_1152|fp_bit_1154|fp_bit_1160|fp_bit_1162|fp_bit_1181|fp_bit_1195|fp_bit_1199|fp_bit_1224|fp_bit_1234|fp_bit_1236|fp_bit_1249|fp_bit_1257|fp_bit_1267|fp_bit_1290|fp_bit_1302|fp_bit_1308|fp_bit_1309|fp_bit_1313|fp_bit_1356|fp_bit_1365|fp_bit_1366|fp_bit_1385|fp_bit_1407|fp_bit_1410|fp_bit_1427|fp_bit_1428|fp_bit_1446|fp_bit_1447|fp_bit_1448|fp_bit_1452|fp_bit_1457|fp_bit_1458|fp_bit_1475|fp_bit_1476|fp_bit_1487|fp_bit_1497|fp_bit_1511|fp_bit_1516|fp_bit_1544|fp_bit_1547|fp_bit_1564|fp_bit_1574|fp_bit_1581|fp_bit_1599|fp_bit_1600|fp_bit_1602|fp_bit_1607|fp_bit_1613|fp_bit_1660|fp_bit_1715|fp_bit_1722|fp_bit_1724|fp_bit_1737|fp_bit_1778|fp_bit_1803|fp_bit_1831|fp_bit_1844|fp_bit_1849|fp_bit_1854|fp_bit_1855|fp_bit_1873|fp_bit_1902|fp_bit_1911|fp_bit_1921|fp_bit_1934|fp_bit_1944|fp_bit_1970|fp_bit_2006|fp_bit_2029|fp_bit_2038|fp_bit_2041
Extra Trees,Categorical,352,0.9906,0.9841,0.9954,0.9957,0.9841,0.9895,0.984,0.884,0.8456,0.848,0.9609,0.8456,0.8466,0.8007,L1,maccs_33|maccs_36|maccs_43|maccs_47|maccs_50|maccs_52|maccs_53|maccs_54|maccs_62|maccs_66|maccs_69|maccs_72|maccs_73|maccs_74|maccs_77|maccs_83|maccs_84|maccs_85|maccs_86|maccs_88|maccs_89|maccs_90|maccs_91|maccs_94|maccs_98|maccs_99|maccs_100|maccs_101|maccs_104|maccs_106|maccs_109|maccs_110|maccs_111|maccs_112|maccs_113|maccs_115|maccs_116|maccs_120|maccs_123|maccs_125|maccs_127|maccs_129|maccs_130|maccs_131|maccs_132|maccs_136|maccs_138|maccs_139|maccs_140|maccs_142|maccs_143|maccs_144|maccs_145|maccs_147|maccs_149|maccs_150|maccs_151|maccs_152|maccs_154|maccs_157|maccs_158|maccs_159|maccs_160|maccs_161|maccs_163|maccs_165|MaxAbsEStateIndex|MinAbsEStateIndex|qed|SPS|MaxPartialCharge|MinPartialCharge|MaxAbsPartialCharge|FpDensityMorgan1|FpDensityMorgan2|FpDensityMorgan3|BCUT2D_MWHI|BCUT2D_MWLOW|BCUT2D_CHGHI|BCUT2D_CHGLO|BCUT2D_LOGPHI|BCUT2D_LOGPLOW|BCUT2D_MRHI|BCUT2D_MRLOW|AvgIpc|BalabanJ|Ipc|Kappa2|Kappa3|PEOE_VSA10|PEOE_VSA11|PEOE_VSA12|PEOE_VSA13|PEOE_VSA14|PEOE_VSA2|PEOE_VSA3|PEOE_VSA4|PEOE_VSA5|PEOE_VSA7|PEOE_VSA8|PEOE_VSA9|SMR_VSA10|SMR_VSA2|SMR_VSA3|SMR_VSA4|SMR_VSA5|SMR_VSA6|SMR_VSA7|SlogP_VSA1|SlogP_VSA10|SlogP_VSA12|SlogP_VSA4|SlogP_VSA5|SlogP_VSA7|SlogP_VSA8|EState_VSA10|EState_VSA2|EState_VSA3|EState_VSA4|EState_VSA5|EState_VSA6|EState_VSA7|EState_VSA8|EState_VSA9|VSA_EState1|VSA_EState10|VSA_EState2|VSA_EState4|VSA_EState5|VSA_EState7|VSA_EState8|VSA_EState9|FractionCSP3|NumAliphaticCarbocycles|NumAmideBonds|NumAromaticCarbocycles|NumAromaticRings|NumAtomStereoCenters|NumBridgeheadAtoms|NumHeterocycles|NumSaturatedHeterocycles|NumSpiroAtoms|NumUnspecifiedAtomStereoCenters|MolLogP|fr_Al_COO|fr_Al_OH|fr_ArN|fr_Ar_COO|fr_Ar_N|fr_Ar_NH|fr_Ar_OH|fr_Imine|fr_NH0|fr_NH1|fr_NH2|fr_Ndealkylation1|fr_Ndealkylation2|fr_SH|fr_aldehyde|fr_alkyl_halide|fr_allylic_oxid|fr_aniline|fr_aryl_methyl|fr_bicyclic|fr_ester|fr_ether|fr_furan|fr_halogen|fr_imidazole|fr_ketone|fr_ketone_Topliss|fr_lactone|fr_methoxy|fr_nitrile|fr_nitro|fr_nitro_arom|fr_nitro_arom_nonortho|fr_para_hydroxylation|fr_phos_ester|fr_piperdine|fr_priamide|fr_pyridine|fr_sulfide|fr_sulfonamd|fr_unbrch_alkane|fr_urea|fp_bit_1|fp_bit_2|fp_bit_8|fp_bit_13|fp_bit_16|fp_bit_25|fp_bit_31|fp_bit_40|fp_bit_54|fp_bit_79|fp_bit_80|fp_bit_94|fp_bit_97|fp_bit_102|fp_bit_115|fp_bit_140|fp_bit_145|fp_bit_170|fp_bit_191|fp_bit_193|fp_bit_197|fp_bit_202|fp_bit_208|fp_bit_222|fp_bit_249|fp_bit_253|fp_bit_266|fp_bit_267|fp_bit_283|fp_bit_305|fp_bit_314|fp_bit_319|fp_bit_322|fp_bit_378|fp_bit_389|fp_bit_401|fp_bit_457|fp_bit_474|fp_bit_478|fp_bit_482|fp_bit_485|fp_bit_486|fp_bit_489|fp_bit_502|fp_bit_521|fp_bit_526|fp_bit_529|fp_bit_573|fp_bit_636|fp_bit_650|fp_bit_656|fp_bit_657|fp_bit_667|fp_bit_680|fp_bit_694|fp_bit_695|fp_bit_696|fp_bit_700|fp_bit_713|fp_bit_718|fp_bit_739|fp_bit_745|fp_bit_786|fp_bit_794|fp_bit_807|fp_bit_819|fp_bit_823|fp_bit_831|fp_bit_833|fp_bit_841|fp_bit_844|fp_bit_845|fp_bit_857|fp_bit_875|fp_bit_899|fp_bit_910|fp_bit_926|fp_bit_937|fp_bit_940|fp_bit_941|fp_bit_960|fp_bit_975|fp_bit_978|fp_bit_984|fp_bit_1017|fp_bit_1018|fp_bit_1019|fp_bit_1027|fp_bit_1034|fp_bit_1066|fp_bit_1070|fp_bit_1088|fp_bit_1134|fp_bit_1141|fp_bit_1148|fp_bit_1152|fp_bit_1154|fp_bit_1160|fp_bit_1162|fp_bit_1181|fp_bit_1195|fp_bit_1199|fp_bit_1224|fp_bit_1234|fp_bit_1236|fp_bit_1249|fp_bit_1257|fp_bit_1267|fp_bit_1290|fp_bit_1302|fp_bit_1308|fp_bit_1309|fp_bit_1313|fp_bit_1356|fp_bit_1365|fp_bit_1366|fp_bit_1385|fp_bit_1407|fp_bit_1410|fp_bit_1427|fp_bit_1428|fp_bit_1446|fp_bit_1447|fp_bit_1448|fp_bit_1452|fp_bit_1457|fp_bit_1458|fp_bit_1475|fp_bit_1476|fp_bit_1487|fp_bit_1497|fp_bit_1511|fp_bit_1516|fp_bit_1544|fp_bit_1547|fp_bit_1564|fp_bit_1574|fp_bit_1581|fp_bit_1599|fp_bit_1600|fp_bit_1602|fp_bit_1607|fp_bit_1613|fp_bit_1660|fp_bit_1715|fp_bit_1722|fp_bit_1724|fp_bit_1737|fp_bit_1778|fp_bit_1803|fp_bit_1831|fp_bit_1844|fp_bit_1849|fp_bit_1854|fp_bit_1855|fp_bit_1873|fp_bit_1902|fp_bit_1911|fp_bit_1921|fp_bit_1934|fp_bit_1944|fp_bit_1970|fp_bit_2006|fp_bit_2029|fp_bit_2038|fp_bit_2041
